全国地方公共団体コード,ID,地方公共団体名,種別,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,口径,備考
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字泉屋14番地,岩手県,西磐井郡平泉町,平泉字泉屋,14番地,,38.9863464631357,141.1165229289340,,1-1
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字志羅山,岩手県,西磐井郡平泉町,平泉字志羅山,,,38.9874723199752,141.1159456381540,,1-2
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字志羅山3番地,岩手県,西磐井郡平泉町,平泉字志羅山,3番地,,38.9885159157107,141.1160787797050,,1-3
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字泉屋75番地,岩手県,西磐井郡平泉町,平泉字泉屋,75番地,,38.9884335223182,141.1167662496600,,1-4
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字鈴沢10番地3,岩手県,西磐井郡平泉町,平泉字鈴沢,10番地3,,38.9895996066863,141.1168683263880,,1-5
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字鈴沢7番地2,岩手県,西磐井郡平泉町,平泉字鈴沢,7番地2,,38.9898078976289,141.1161390445730,,1-6
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字泉屋51番地,岩手県,西磐井郡平泉町,平泉字泉屋,51番地,,38.9871004723253,141.1188081668600,,1-7
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字泉屋99番地3,岩手県,西磐井郡平泉町,平泉字泉屋,99番地3,,38.9898329792004,141.1188709214970,,1-8
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字伽羅楽11番地,岩手県,西磐井郡平泉町,平泉字伽羅楽,11番地,,38.9905180480107,141.1194952031160,,1-9
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字鈴沢32番地6,岩手県,西磐井郡平泉町,平泉字鈴沢,32番地6,,38.9909472929260,141.1170448519840,,1-10
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字花立209番地,岩手県,西磐井郡平泉町,平泉字花立,209番地,,38.9920653377082,141.1171940808200,,1-11
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字伽羅楽,岩手県,西磐井郡平泉町,平泉字伽羅楽,,,38.9928491811733,141.1194042210600,,1-12
